<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
QQQ;5;12.06.2025;10:50:00;533.8;533.93;533.7;533.93;11056
QQQ;5;12.06.2025;10:55:00;533.81;533.9;533.56;533.73;8604
QQQ;5;12.06.2025;11:00:00;533.74;533.84;533.51;533.58;5351
QQQ;5;12.06.2025;11:05:00;533.69;534.64;533.69;534.45;26621
QQQ;5;12.06.2025;11:10:00;534.48;534.48;533.99;534.04;8408
QQQ;5;12.06.2025;11:15:00;534.05;534.13;533.81;533.92;7787
QQQ;5;12.06.2025;11:20:00;533.97;534.08;533.2;533.39;22330
QQQ;5;12.06.2025;11:25:00;533.33;533.52;532.36;532.81;35959
QQQ;5;12.06.2025;11:30:00;532.71;533.28;532.57;533.21;28536
QQQ;5;12.06.2025;11:35:00;533.13;533.34;532.64;533.09;13685
QQQ;5;12.06.2025;11:40:00;533.1;533.34;533.01;533.15;5133
QQQ;5;12.06.2025;11:45:00;533.14;533.51;533.1;533.35;4372
QQQ;5;12.06.2025;11:50:00;533.08;533.17;532.86;533;6731
QQQ;5;12.06.2025;11:55:00;532.96;533.09;532.64;533.01;12422
QQQ;5;12.06.2025;12:00:00;533.15;533.43;533;533.3;6630
QQQ;5;12.06.2025;12:05:00;533.32;533.8;532.91;532.91;18161
QQQ;5;12.06.2025;12:10:00;533.04;533.68;533;533.59;18105
QQQ;5;12.06.2025;12:15:00;533.63;534.03;533.61;533.73;24760
QQQ;5;12.06.2025;12:20:00;533.77;533.99;533.64;533.74;15614
QQQ;5;12.06.2025;12:25:00;533.72;533.86;533.28;533.34;7206
QQQ;5;12.06.2025;12:30:00;533.45;534.31;533.43;534.12;54930
QQQ;5;12.06.2025;12:35:00;534.11;534.11;533.17;533.76;39681
QQQ;5;12.06.2025;12:40:00;533.8;534.36;533.76;534.27;15428
QQQ;5;12.06.2025;12:45:00;534.29;534.41;534.07;534.15;18006
QQQ;5;12.06.2025;12:50:00;534.18;534.25;533.8;533.8;21760
QQQ;5;12.06.2025;12:55:00;533.79;533.83;533.44;533.44;17882
QQQ;5;12.06.2025;13:00:00;533.41;533.6;533.3;533.36;12937
QQQ;5;12.06.2025;13:05:00;533.33;534.12;533.25;533.63;14386
QQQ;5;12.06.2025;13:10:00;533.57;534.02;533.57;533.99;7619
QQQ;5;12.06.2025;13:15:00;533.98;534.27;533.94;533.98;15455
QQQ;5;12.06.2025;13:20:00;533.99;534.08;533.81;533.97;20755
QQQ;5;12.06.2025;13:25:00;534.01;534.15;533.79;533.81;18719
QQQ;5;12.06.2025;13:30:00;533.79;533.93;533.64;533.78;10833
QQQ;5;12.06.2025;13:35:00;533.81;534.36;533.8;534.35;28539
QQQ;5;12.06.2025;13:40:00;534.34;534.41;534.16;534.26;10503
QQQ;5;12.06.2025;13:45:00;534.23;534.23;534.01;534.02;9081
QQQ;5;12.06.2025;13:50:00;534.11;534.11;533.79;533.81;11502
QQQ;5;12.06.2025;13:55:00;533.83;533.96;533.81;533.83;5441
QQQ;5;12.06.2025;14:00:00;533.85;533.85;533.53;533.69;30829
QQQ;5;12.06.2025;14:05:00;533.66;533.77;533.48;533.7;10054
QQQ;5;12.06.2025;14:10:00;533.81;533.94;533.73;533.89;7489
QQQ;5;12.06.2025;14:15:00;533.87;533.98;533.73;533.75;5813
QQQ;5;12.06.2025;14:20:00;533.79;533.89;533.57;533.7;16220
QQQ;5;12.06.2025;14:25:00;533.7;533.76;533.24;533.35;20265
QQQ;5;12.06.2025;14:30:00;533.35;533.52;532.82;533.23;68771
QQQ;5;12.06.2025;14:35:00;533.27;533.39;532.91;533.32;38598
QQQ;5;12.06.2025;14:40:00;533.34;533.61;533.14;533.4;15977
QQQ;5;12.06.2025;14:45:00;533.39;533.45;532.98;533.02;14480
QQQ;5;12.06.2025;14:50:00;533.02;533.35;532.91;533.27;39641
QQQ;5;12.06.2025;14:55:00;533.26;533.52;533.19;533.4;34554
QQQ;5;12.06.2025;15:00:00;533.42;533.7;533.26;533.66;22655
QQQ;5;12.06.2025;15:05:00;533.65;533.83;533.6;533.76;8862
QQQ;5;12.06.2025;15:10:00;533.735;533.88;533.735;533.82;3012
QQQ;5;12.06.2025;15:15:00;533.84;533.84;533.59;533.63;7581
QQQ;5;12.06.2025;15:20:00;533.66;533.96;533.62;533.96;13384
QQQ;5;12.06.2025;15:25:00;533.9;534.04;533.71;533.73;12431
QQQ;5;12.06.2025;15:30:00;533.72;533.72;533.5;533.68;12094
QQQ;5;12.06.2025;15:35:00;533.54;533.59;533.24;533.48;18085
QQQ;5;12.06.2025;15:40:00;533.385;533.48;533.25;533.43;5523
QQQ;5;12.06.2025;15:45:00;533.41;533.44;533.04;533.04;12130
QQQ;5;12.06.2025;15:50:00;533.03;533.08;532.77;532.88;25550
QQQ;5;12.06.2025;15:55:00;532.86;533.06;532.66;532.94;38337
QQQ;5;12.06.2025;16:00:00;532.96;533.7;532.96;533.67;68059
QQQ;5;13.06.2025;9:35:00;527.67;530.01;527.26;529.62;106516
QQQ;5;13.06.2025;9:40:00;529.65;530.24;528.85;530.11;52980
QQQ;5;13.06.2025;9:45:00;530.13;530.13;529.31;529.73;26709
QQQ;5;13.06.2025;9:50:00;529.8;529.8;529.06;529.47;26886
QQQ;5;13.06.2025;9:55:00;529.4;530.34;528.95;528.95;38573
QQQ;5;13.06.2025;10:00:00;528.92;529.33;528.47;528.64;24552
QQQ;5;13.06.2025;10:05:00;528.88;529.725;528.63;528.91;28845
QQQ;5;13.06.2025;10:10:00;528.87;529.29;528.69;528.8;14481
QQQ;5;13.06.2025;10:15:00;528.68;528.69;527.62;528.07;31698
QQQ;5;13.06.2025;10:20:00;528.03;528.1;527.61;527.77;23141
QQQ;5;13.06.2025;10:25:00;527.71;527.8;526.74;527.28;33035
QQQ;5;13.06.2025;10:30:00;527.23;527.33;526.15;526.37;31214
QQQ;5;13.06.2025;10:35:00;526.41;527.47;526.24;527.29;41988
QQQ;5;13.06.2025;10:40:00;527.16;528.59;527.16;528.48;39116
QQQ;5;13.06.2025;10:45:00;528.48;529.23;528.29;528.29;24470
QQQ;5;13.06.2025;10:50:00;528.34;528.74;527.75;528.07;19839
QQQ;5;13.06.2025;10:55:00;527.99;529.41;527.83;529.13;21305
QQQ;5;13.06.2025;11:00:00;529.21;529.79;528.95;529.17;51163
QQQ;5;13.06.2025;11:05:00;529.27;529.39;529.02;529.33;6287
QQQ;5;13.06.2025;11:10:00;529.26;529.71;529.26;529.51;8798
QQQ;5;13.06.2025;11:15:00;529.47;529.72;529.01;529.69;16903
QQQ;5;13.06.2025;11:20:00;529.65;529.89;529.29;529.74;14549
QQQ;5;13.06.2025;11:25:00;529.81;530.74;529.63;530.1;46491
QQQ;5;13.06.2025;11:30:00;530.08;530.51;529.89;530.51;11231
QQQ;5;13.06.2025;11:35:00;530.51;530.8;530.36;530.57;23331
QQQ;5;13.06.2025;11:40:00;530.6;530.6;530.2;530.52;16901
QQQ;5;13.06.2025;11:45:00;530.5;530.91;530.24;530.75;12657
QQQ;5;13.06.2025;11:50:00;530.79;531.28;530.71;531.18;24111
QQQ;5;13.06.2025;11:55:00;531.19;531.59;531.19;531.55;14234
QQQ;5;13.06.2025;12:00:00;531.46;531.47;530.88;531.39;28846
QQQ;5;13.06.2025;12:05:00;531.39;531.43;531;531.05;21907
QQQ;5;13.06.2025;12:10:00;531.12;531.48;530.98;531.38;13718
QQQ;5;13.06.2025;12:15:00;531.41;531.76;531.41;531.64;11859
QQQ;5;13.06.2025;12:20:00;531.62;531.82;531.38;531.63;10978
QQQ;5;13.06.2025;12:25:00;531.63;531.72;531.26;531.56;22148
QQQ;5;13.06.2025;12:30:00;531.61;531.67;530.92;531.04;14792
QQQ;5;13.06.2025;12:35:00;531.07;531.35;531.01;531.31;11096
QQQ;5;13.06.2025;12:40:00;531.37;531.38;530.74;530.77;26967
QQQ;5;13.06.2025;12:45:00;530.71;531.04;530.65;530.81;15708
QQQ;5;13.06.2025;12:50:00;530.79;530.81;530.54;530.58;12627
QQQ;5;13.06.2025;12:55:00;530.56;531.32;530.54;531.22;10901
QQQ;5;13.06.2025;13:00:00;531.18;531.59;531.14;531.23;17963
QQQ;5;13.06.2025;13:05:00;531.23;531.39;531.08;531.11;14782
QQQ;5;13.06.2025;13:10:00;531.13;531.13;530.67;530.68;20762
QQQ;5;13.06.2025;13:15:00;530.65;530.66;530.05;530.3;32994
QQQ;5;13.06.2025;13:20:00;530.27;530.27;529.47;529.93;37352
QQQ;5;13.06.2025;13:25:00;530.03;531.11;530.03;530.59;28341
QQQ;5;13.06.2025;13:30:00;530.56;530.58;529.87;529.87;11752
QQQ;5;13.06.2025;13:35:00;529.87;530.32;529.82;529.89;13196
QQQ;5;13.06.2025;13:40:00;529.89;530.04;529.68;529.71;10468
QQQ;5;13.06.2025;13:45:00;529.76;530.09;529.38;529.78;16205
QQQ;5;13.06.2025;13:50:00;529.85;530.06;529.58;529.72;15781
QQQ;5;13.06.2025;13:55:00;529.73;530.52;529.73;530.26;8557
QQQ;5;13.06.2025;14:00:00;530.27;530.34;530.09;530.22;8222
QQQ;5;13.06.2025;14:05:00;530.17;530.66;529.18;529.6;46928
QQQ;5;13.06.2025;14:10:00;529.61;530.05;529.01;529.17;38801
