<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPY;5;14.07.2025;15:15:00;624.77;624.93;624.76;624.91;41065
SPY;5;14.07.2025;15:20:00;624.91;624.91;624.775;624.79;36761
SPY;5;14.07.2025;15:25:00;624.8;624.83;624.54;624.61;65634
SPY;5;14.07.2025;15:30:00;624.6;624.94;624.58;624.71;83773
SPY;5;14.07.2025;15:35:00;624.715;624.715;624.52;624.54;36586
SPY;5;14.07.2025;15:40:00;624.52;624.69;624.5;624.58;38347
SPY;5;14.07.2025;15:45:00;624.58;624.68;624.44;624.44;39619
SPY;5;14.07.2025;15:50:00;624.415;624.81;624.3;624.75;97241
SPY;5;14.07.2025;15:55:00;624.76;624.81;624.43;624.6;136121
SPY;5;14.07.2025;16:00:00;624.59;624.98;624.5;624.74;371345
SPY;5;14.07.2025;16:05:00;624.73;624.73;624.73;624.73;100
SPY;5;15.07.2025;9:35:00;627.52;627.86;626.86;626.9;194262
SPY;5;15.07.2025;9:40:00;626.89;627.14;626.52;626.52;111670
SPY;5;15.07.2025;9:45:00;626.52;626.52;625.9;626.335;130714
SPY;5;15.07.2025;9:50:00;626.36;626.64;625.81;625.97;104337
SPY;5;15.07.2025;9:55:00;625.95;626.41;625.94;626.13;63995
SPY;5;15.07.2025;10:00:00;626.11;626.31;625.59;625.67;75023
SPY;5;15.07.2025;10:05:00;625.665;625.83;625.27;625.485;90373
SPY;5;15.07.2025;10:10:00;625.5;625.94;625.39;625.79;80659
SPY;5;15.07.2025;10:15:00;625.78;626.25;625.72;626.23;65145
SPY;5;15.07.2025;10:20:00;626.21;626.39;625.74;626.15;47206
SPY;5;15.07.2025;10:25:00;626.16;626.23;625.85;626.01;44803
SPY;5;15.07.2025;10:30:00;625.98;626.02;625.38;625.49;85675
SPY;5;15.07.2025;10:35:00;625.49;625.58;624.83;625.39;111335
SPY;5;15.07.2025;10:40:00;625.41;625.5;624.85;625.125;81533
SPY;5;15.07.2025;10:45:00;625.12;625.2;624.71;624.94;74866
SPY;5;15.07.2025;10:50:00;624.89;625.37;624.89;625.19;49525
SPY;5;15.07.2025;10:55:00;625.18;625.3;624.07;624.41;134681
SPY;5;15.07.2025;11:00:00;624.38;624.38;623.81;623.89;117867
SPY;5;15.07.2025;11:05:00;623.88;624.44;623.88;624.3;103957
SPY;5;15.07.2025;11:10:00;624.35;624.86;624.35;624.67;87241
SPY;5;15.07.2025;11:15:00;624.67;624.84;624.25;624.25;72673
SPY;5;15.07.2025;11:20:00;624.24;624.47;624.17;624.38;93443
SPY;5;15.07.2025;11:25:00;624.34;625.04;624.32;624.99;64738
SPY;5;15.07.2025;11:30:00;624.98;625.2;624.88;625.1;54384
SPY;5;15.07.2025;11:35:00;625.12;625.21;624.54;624.78;47926
SPY;5;15.07.2025;11:40:00;624.76;624.94;624.55;624.82;58853
SPY;5;15.07.2025;11:45:00;624.82;625.2;624.79;625.05;35146
SPY;5;15.07.2025;11:50:00;625.03;625.38;624.98;625.3;44228
SPY;5;15.07.2025;11:55:00;625.29;625.31;624.82;624.87;57163
SPY;5;15.07.2025;12:00:00;624.845;624.9;624.52;624.84;43195
SPY;5;15.07.2025;12:05:00;624.85;624.98;624.68;624.92;37183
SPY;5;15.07.2025;12:10:00;624.93;624.98;624.24;624.24;48554
SPY;5;15.07.2025;12:15:00;624.21;624.47;624.01;624.37;76763
SPY;5;15.07.2025;12:20:00;624.33;624.61;624.27;624.39;34491
SPY;5;15.07.2025;12:25:00;624.39;624.675;624.26;624.46;43438
SPY;5;15.07.2025;12:30:00;624.43;624.48;624.14;624.27;38187
SPY;5;15.07.2025;12:35:00;624.27;624.57;624.22;624.23;51486
SPY;5;15.07.2025;12:40:00;624.2;624.28;623.81;624.08;43668
SPY;5;15.07.2025;12:45:00;624.05;624.27;623.85;624.16;36415
SPY;5;15.07.2025;12:50:00;624.16;624.39;624.16;624.22;43797
SPY;5;15.07.2025;12:55:00;624.19;624.35;623.87;623.92;44245
SPY;5;15.07.2025;13:00:00;623.88;624.07;623.01;623.23;150618
SPY;5;15.07.2025;13:05:00;623.19;623.71;623.17;623.5;77780
SPY;5;15.07.2025;13:10:00;623.48;623.6;623.24;623.24;37551
